,,,,% area that is greenspace,,Average PTAL score,,,
Codes,New Code,Borough,Names,2012,2014,2010,2011,2012,2014
00AA,E09000001,City of London,City of London,18.6,18.6,7.7,7.7,7.6,7.9
00ABFX,E05000026,Barking and Dagenham,Abbey,19.6,21.9,6.0,5.9,5.7,6.0
00ABFY,E05000027,Barking and Dagenham,Alibon,22.4,20.6,3.3,3.3,3.2,3.1
00ABFZ,E05000028,Barking and Dagenham,Becontree,3.0,1.9,2.8,2.9,2.9,2.9
00ABGA,E05000029,Barking and Dagenham,Chadwell Heath,56.4,56.0,2.3,2.3,2.2,2.3
00ABGB,E05000030,Barking and Dagenham,Eastbrook,51.1,50.4,2.3,2.3,2.4,2.3
00ABGC,E05000031,Barking and Dagenham,Eastbury,18.1,17.1,2.9,2.8,2.8,2.7
00ABGD,E05000032,Barking and Dagenham,Gascoigne,20.3,20.8,4.0,3.8,3.6,3.2
00ABGE,E05000033,Barking and Dagenham,Goresbrook,17.1,14.1,2.6,2.5,2.5,2.5
00ABGF,E05000034,Barking and Dagenham,Heath,38.4,36.3,2.6,2.6,2.6,2.7
00ABGG,E05000035,Barking and Dagenham,Longbridge,30.3,28.3,3.1,3.1,3.1,3.1
00ABGH,E05000036,Barking and Dagenham,Mayesbrook,45.8,44.8,2.6,2.6,2.5,2.5
00ABGJ,E05000037,Barking and Dagenham,Parsloes,17.5,17.4,2.7,2.7,2.7,2.7
00ABGK,E05000038,Barking and Dagenham,River,20.8,20.5,3.0,3.0,3.1,3.0
00ABGL,E05000039,Barking and Dagenham,Thames,44.4,43.8,2.4,2.2,2.1,2.1
00ABGM,E05000040,Barking and Dagenham,Valence,16.0,11.8,3.2,3.2,3.2,3.2
00ABGN,E05000041,Barking and Dagenham,Village,48.0,47.0,2.8,2.8,2.7,2.7
00ABGP,E05000042,Barking and Dagenham,Whalebone,16.4,16.0,2.9,2.9,2.9,2.9
00ACFX,E05000043,Barnet,Brunswick Park,28.0,28.0,2.8,2.8,2.8,2.9
00ACFY,E05000044,Barnet,Burnt Oak,20.2,18.9,3.6,3.6,3.6,3.6
00ACFZ,E05000045,Barnet,Childs Hill,15.1,15.1,4.5,4.5,4.6,4.5
00ACGA,E05000046,Barnet,Colindale,20.8,19.8,2.5,2.5,2.5,2.5
00ACGB,E05000047,Barnet,Coppetts,40.3,40.3,2.8,2.9,2.9,2.9
00ACGC,E05000048,Barnet,East Barnet,34.9,34.8,2.4,2.6,2.7,2.8
00ACGD,E05000049,Barnet,East Finchley,37.8,37.8,2.6,2.6,2.7,2.6
00ACGE,E05000050,Barnet,Edgware,54.0,54.0,2.9,2.9,3.0,3.0
00ACGF,E05000051,Barnet,Finchley Church End,13.7,13.7,2.9,2.9,2.9,2.9
00ACGG,E05000052,Barnet,Garden Suburb,24.2,24.2,2.7,2.7,2.7,2.7
00ACGH,E05000053,Barnet,Golders Green,14.6,14.6,3.4,3.4,3.4,3.4
00ACGJ,E05000054,Barnet,Hale,48.8,48.8,2.5,2.5,2.5,2.6
00ACGK,E05000055,Barnet,Hendon,16.4,16.4,2.6,2.6,2.7,2.7
00ACGL,E05000056,Barnet,High Barnet,47.9,47.9,2.8,2.7,2.7,2.7
00ACGM,E05000057,Barnet,Mill Hill,59.0,59.0,2.2,2.2,2.2,2.3
00ACGN,E05000058,Barnet,Oakleigh,15.3,15.3,3.2,3.2,3.2,3.3
00ACGP,E05000059,Barnet,Totteridge,57.7,57.7,2.7,2.7,2.7,2.5
00ACGQ,E05000060,Barnet,Underhill,43.7,43.8,2.6,2.6,2.6,2.6
00ACGR,E05000061,Barnet,West Finchley,13.4,13.4,3.8,3.8,3.7,3.6
00ACGS,E05000062,Barnet,West Hendon,32.0,32.0,3.5,3.5,3.5,3.5
00ACGT,E05000063,Barnet,Woodhouse,19.3,19.3,2.8,2.8,2.8,2.9
00ADGA,E05000064,Bexley,Barnehurst,35.8,36.0,3.0,3.0,3.0,3.1
00ADGB,E05000065,Bexley,Belvedere,33.2,33.1,2.4,2.4,2.5,2.8
00ADGC,E05000066,Bexley,Blackfen and Lamorbey,9.5,9.5,2.1,2.0,2.0,2.1
00ADGD,E05000067,Bexley,Blendon and Penhill,13.9,13.8,2.0,2.0,2.0,2.1
00ADGE,E05000068,Bexley,Brampton,9.2,9.1,2.5,2.5,2.5,2.7
00ADGF,E05000069,Bexley,Christchurch,17.3,17.3,3.4,3.4,3.4,3.4
00ADGG,E05000070,Bexley,Colyers,13.1,13.0,1.9,1.9,1.9,2.0
00ADGH,E05000071,Bexley,Crayford,42.7,41.7,2.0,2.0,2.1,2.1
00ADGJ,E05000072,Bexley,Cray Meadows,61.6,61.7,1.8,2.0,2.3,2.3
00ADGK,E05000073,Bexley,Danson Park,36.3,36.4,2.9,2.9,2.9,2.9
00ADGL,E05000074,Bexley,East Wickham,26.5,26.8,2.8,2.8,2.8,2.5
00ADGM,E05000075,Bexley,Erith,44.6,44.6,2.4,2.5,2.5,2.6
00ADGN,E05000076,Bexley,Falconwood and Welling,0.7,0.7,2.6,2.6,2.6,2.4
00ADGP,E05000077,Bexley,Lesnes Abbey,36.9,37.0,2.8,2.8,2.8,2.8
00ADGQ,E05000078,Bexley,Longlands,30.0,28.9,2.6,2.6,2.6,2.7
00ADGR,E05000079,Bexley,North End,65.3,65.3,2.3,2.4,2.4,2.6
00ADGS,E05000080,Bexley,Northumberland Heath,13.5,13.6,2.1,2.1,2.1,2.1
00ADGT,E05000081,Bexley,St. Mary's,46.8,46.8,2.6,2.6,2.6,2.6
00ADGU,E05000082,Bexley,St. Michael's,5.9,5.9,2.0,2.0,2.0,2.2
00ADGW,E05000083,Bexley,Sidcup,25.8,25.8,2.9,3.0,3.2,3.2
00ADGX,E05000084,Bexley,Thamesmead East,70.5,70.5,2.5,2.6,2.6,2.6
00AEGJ,E05000085,Brent,Alperton,17.7,17.7,2.9,3.0,3.0,3.0
00AEGK,E05000086,Brent,Barnhill,31.6,31.6,2.8,3.0,3.1,3.0
00AEGL,E05000087,Brent,Brondesbury Park,9.6,9.7,3.9,4.0,4.0,3.8
00AEGM,E05000088,Brent,Dollis Hill,26.6,26.6,2.7,2.8,2.8,2.9
00AEGN,E05000089,Brent,Dudden Hill,11.5,11.6,3.4,3.4,3.5,3.4
00AEGP,E05000090,Brent,Fryent,39.3,39.3,2.7,2.8,2.8,2.8
00AEGQ,E05000091,Brent,Harlesden,8.9,8.9,3.7,3.8,3.9,3.8
00AEGR,E05000092,Brent,Kensal Green,6.9,6.9,3.9,4.1,4.2,4.1
00AEGS,E05000093,Brent,Kenton,17.0,17.0,2.6,2.6,2.7,2.7
00AEGT,E05000094,Brent,Kilburn,11.2,11.1,5.4,5.5,5.5,5.5
00AEGU,E05000095,Brent,Mapesbury,9.7,9.6,4.5,4.5,4.5,4.5
00AEGW,E05000096,Brent,Northwick Park,32.0,32.0,2.7,2.8,2.9,2.7
00AEGX,E05000097,Brent,Preston,19.1,19.2,2.9,3.1,3.4,3.4
00AEGY,E05000098,Brent,Queens Park,19.1,19.0,5.0,5.0,5.1,5.0
00AEGZ,E05000099,Brent,Queensbury,13.7,13.7,3.0,3.0,3.1,3.0
00AEHA,E05000100,Brent,Stonebridge,16.3,16.2,2.9,3.0,3.1,3.2
00AEHB,E05000101,Brent,Sudbury,34.6,34.6,3.3,3.3,3.4,3.3
00AEHC,E05000102,Brent,Tokyngton,19.7,19.8,3.0,3.3,3.5,3.5
00AEHD,E05000103,Brent,Welsh Harp,34.2,34.0,2.7,2.8,2.8,2.8
00AEHE,E05000104,Brent,Wembley Central,20.1,20.1,4.7,4.7,4.8,4.9
00AEHF,E05000105,Brent,Willesden Green,36.8,36.8,4.4,4.6,4.8,4.6
00AFGD,E05000106,Bromley,Bickley,22.1,21.5,2.3,2.3,2.2,2.4
00AFGE,E05000107,Bromley,Biggin Hill,71.4,72.7,1.7,1.8,1.8,1.8
00AFGF,E05000108,Bromley,Bromley Common and Keston,59.3,58.6,2.3,2.3,2.3,2.3
00AFGG,E05000109,Bromley,Bromley Town,18.0,17.6,3.8,3.7,3.7,3.8
00AFGH,E05000110,Bromley,Chelsfield and Pratts Bottom,69.2,68.4,1.9,1.9,1.9,2.1
00AFGJ,E05000111,Bromley,Chislehurst,60.0,59.1,2.2,2.2,2.2,2.1
00AFGK,E05000112,Bromley,Clock House,16.3,16.2,3.9,4.0,4.0,4.0
00AFGL,E05000113,Bromley,Copers Cope,17.1,16.7,3.0,3.1,3.2,3.3
00AFGM,E05000114,Bromley,Cray Valley East,76.4,76.2,2.3,2.2,2.1,2.1
00AFGN,E05000115,Bromley,Cray Valley West,24.2,23.4,2.3,2.4,2.5,2.3
00AFGP,E05000116,Bromley,Crystal Palace,49.3,49.2,4.4,4.4,4.3,4.6
00AFGQ,E05000117,Bromley,Darwin,88.8,88.5,1.3,1.3,1.3,1.3
00AFGR,E05000118,Bromley,Farnborough and Crofton,49.7,48.9,2.2,2.3,2.3,2.5
00AFGS,E05000119,Bromley,Hayes and Coney Hall,69.5,68.9,2.3,2.3,2.3,2.3
00AFGT,E05000120,Bromley,Kelsey and Eden Park,43.6,42.7,2.6,2.6,2.6,2.7
00AFGU,E05000121,Bromley,Mottingham and Chislehurst North,44.4,44.0,2.6,2.5,2.5,2.5
00AFGW,E05000122,Bromley,Orpington,26.3,24.6,2.7,2.7,2.7,2.9
00AFGX,E05000123,Bromley,Penge and Cator,25.2,24.9,3.9,4.0,4.1,4.2
00AFGY,E05000124,Bromley,Petts Wood and Knoll,24.6,24.3,2.3,2.4,2.6,2.8
00AFGZ,E05000125,Bromley,Plaistow and Sundridge,40.5,40.3,2.8,2.8,2.9,2.9
00AFHA,E05000126,Bromley,Shortlands,3.1,3.0,2.5,2.5,2.5,2.7
00AFHB,E05000127,Bromley,West Wickham,32.6,31.8,2.2,2.1,2.1,2.2
00AGGD,E05000128,Camden,Belsize,1.3,1.3,4.1,4.1,4.1,4.2
00AGGE,E05000129,Camden,Bloomsbury,9.2,9.2,7.9,7.9,7.9,8.0
00AGGF,E05000130,Camden,Camden Town with Primrose Hill,15.2,15.2,6.1,5.8,5.5,5.4
00AGGG,E05000131,Camden,Cantelowes,7.4,7.4,4.9,4.9,4.9,4.9
00AGGH,E05000132,Camden,Fortune Green,18.0,18.4,4.5,4.5,4.5,4.8
00AGGJ,E05000133,Camden,Frognal and Fitzjohns,5.7,5.7,4.3,4.5,4.7,4.8
00AGGK,E05000134,Camden,Gospel Oak,15.9,15.9,4.0,4.0,4.0,4.1
00AGGL,E05000135,Camden,Hampstead Town,54.2,53.9,4.1,4.1,4.0,4.0
00AGGM,E05000136,Camden,Haverstock,8.2,8.2,5.0,4.9,4.8,4.7
00AGGN,E05000137,Camden,Highgate,65.2,65.2,3.9,3.9,3.9,3.9
00AGGP,E05000138,Camden,Holborn and Covent Garden,7.5,7.5,7.9,7.9,7.9,7.9
00AGGQ,E05000139,Camden,Kentish Town,5.3,5.3,5.5,5.5,5.5,5.7
00AGGR,E05000140,Camden,Kilburn,13.4,13.4,5.7,5.7,5.6,5.5
00AGGS,E05000141,Camden,King's Cross,13.5,13.5,7.6,7.7,7.7,7.8
00AGGT,E05000142,Camden,Regent's Park,27.0,27.0,6.6,6.6,6.6,6.8
00AGGU,E05000143,Camden,St. Pancras and Somers Town,13.5,13.6,6.3,6.4,6.5,7.1
00AGGW,E05000144,Camden,Swiss Cottage,14.5,14.5,6.1,6.2,6.2,6.2
00AGGX,E05000145,Camden,West Hampstead,8.8,9.4,5.8,5.9,5.9,6.0
00AHGE,E05000146,Croydon,Addiscombe,2.3,2.3,4.3,4.5,4.6,4.6
00AHGF,E05000147,Croydon,Ashburton,22.2,22.2,2.7,2.7,2.8,2.9
00AHGG,E05000148,Croydon,Bensham Manor,7.7,7.8,3.4,3.4,3.4,3.3
00AHGH,E05000149,Croydon,Broad Green,4.5,4.6,4.4,4.5,4.6,4.7
00AHGJ,E05000150,Croydon,Coulsdon East,56.8,56.8,1.8,1.7,1.7,1.9
00AHGK,E05000151,Croydon,Coulsdon West,17.1,17.1,2.3,2.4,2.6,2.5
00AHGL,E05000152,Croydon,Croham,19.1,19.1,3.2,3.2,3.3,3.3
00AHGM,E05000153,Croydon,Fairfield,17.5,17.5,5.8,5.8,5.8,5.7
00AHGN,E05000154,Croydon,Fieldway,22.8,22.9,3.1,3.1,3.2,2.9
00AHGP,E05000155,Croydon,Heathfield,61.3,61.3,2.2,2.3,2.3,2.3
00AHGQ,E05000156,Croydon,Kenley,39.6,39.6,1.9,1.9,1.9,1.9
00AHGR,E05000157,Croydon,New Addington,31.2,31.2,2.9,3.0,3.0,2.7
00AHGS,E05000158,Croydon,Norbury,16.1,15.8,2.9,2.9,2.9,3.1
00AHGT,E05000159,Croydon,Purley,3.8,3.8,2.7,2.8,2.9,2.9
00AHGU,E05000160,Croydon,Sanderstead,48.6,48.6,1.6,1.6,1.6,1.7
00AHGW,E05000161,Croydon,Selhurst,18.3,18.3,4.2,4.2,4.3,4.2
00AHGX,E05000162,Croydon,Selsdon and Ballards,55.2,55.2,2.0,2.0,2.0,2.0
00AHGY,E05000163,Croydon,Shirley,16.0,16.0,1.9,1.9,2.0,2.0
00AHGZ,E05000164,Croydon,South Norwood,17.5,17.5,3.8,3.9,4.0,3.9
00AHHA,E05000165,Croydon,Thornton Heath,11.2,11.2,3.0,3.1,3.1,3.3
00AHHB,E05000166,Croydon,Upper Norwood,19.5,19.4,2.8,2.9,3.0,3.0
00AHHC,E05000167,Croydon,Waddon,32.6,32.7,3.7,3.6,3.6,3.6
00AHHD,E05000168,Croydon,West Thornton,17.7,18.7,3.0,3.0,3.1,3.1
00AHHE,E05000169,Croydon,Woodside,33.3,33.3,3.0,3.4,3.8,3.7
00AJGC,E05000170,Ealing,Acton Central,24.2,24.2,3.3,3.3,3.3,3.1
00AJGD,E05000171,Ealing,Cleveland,34.8,34.7,2.8,2.9,2.9,3.0
00AJGE,E05000172,Ealing,Dormers Wells,47.3,47.3,3.1,3.2,3.3,3.3
00AJGF,E05000173,Ealing,Ealing Broadway,6.1,6.1,4.5,4.6,4.7,5.0
00AJGG,E05000174,Ealing,Ealing Common,22.2,22.2,3.6,3.4,3.3,3.6
00AJGH,E05000175,Ealing,East Acton,19.6,19.6,4.0,4.1,4.2,4.0
00AJGJ,E05000176,Ealing,Elthorne,34.2,34.2,3.5,3.6,3.7,3.8
00AJGK,E05000177,Ealing,Greenford Broadway,26.2,26.2,3.1,3.2,3.3,3.4
00AJGL,E05000178,Ealing,Greenford Green,22.6,22.6,2.7,2.7,2.7,2.6
00AJGM,E05000179,Ealing,Hanger Hill,26.7,26.7,3.6,3.7,3.8,3.7
00AJGN,E05000180,Ealing,Hobbayne,36.1,36.1,3.0,3.0,3.0,3.1
00AJGP,E05000181,Ealing,Lady Margaret,19.4,19.4,2.8,2.9,2.9,3.0
00AJGQ,E05000182,Ealing,Northfield,25.6,25.6,3.3,3.3,3.4,3.4
00AJGR,E05000183,Ealing,North Greenford,53.3,53.3,2.7,2.7,2.7,2.6
00AJGS,E05000184,Ealing,Northolt Mandeville,34.4,34.5,2.8,3.0,3.2,3.2
00AJGT,E05000185,Ealing,Northolt West End,56.3,56.3,2.4,2.4,2.4,2.5
00AJGU,E05000186,Ealing,Norwood Green,47.6,54.5,2.2,2.2,2.2,2.3
00AJGW,E05000187,Ealing,Perivale,38.3,38.3,2.1,2.3,2.4,2.3
00AJGX,E05000188,Ealing,South Acton,17.5,17.5,4.5,4.7,4.8,4.6
00AJGY,E05000189,Ealing,Southall Broadway,14.1,14.1,3.2,3.3,3.4,3.2
00AJGZ,E05000190,Ealing,Southall Green,16.3,16.3,3.0,3.0,3.1,3.0
00AJHA,E05000191,Ealing,Southfield,14.3,14.3,3.3,3.4,3.5,3.1
00AJHB,E05000192,Ealing,Walpole,20.1,20.1,3.7,3.7,3.7,3.8
00AKGL,E05000193,Enfield,Bowes,15.3,15.3,3.6,3.7,3.9,3.9
00AKGM,E05000194,Enfield,Bush Hill Park,29.6,29.6,2.7,2.7,2.7,2.7
00AKGN,E05000195,Enfield,Chase,81.5,81.5,1.8,1.9,1.9,2.0
00AKGP,E05000196,Enfield,Cockfosters,68.8,68.8,2.5,2.5,2.5,2.6
00AKGQ,E05000197,Enfield,Edmonton Green,33.2,33.2,4.0,4.0,4.0,3.9
00AKGR,E05000198,Enfield,Enfield Highway,40.6,40.6,2.5,2.5,2.5,2.5
00AKGS,E05000199,Enfield,Enfield Lock,39.6,39.6,2.5,2.6,2.6,2.6
00AKGT,E05000200,Enfield,Grange,27.4,27.4,3.0,3.0,3.0,3.1
00AKGU,E05000201,Enfield,Haselbury,27.0,27.0,3.1,3.1,3.0,3.0
00AKGW,E05000202,Enfield,Highlands,56.5,56.4,2.5,2.6,2.6,2.7
00AKGX,E05000203,Enfield,Jubilee,60.6,60.6,2.5,2.5,2.5,2.5
00AKGY,E05000204,Enfield,Lower Edmonton,40.6,40.6,3.4,3.4,3.4,3.2
00AKGZ,E05000205,Enfield,Palmers Green,15.4,15.4,2.5,2.5,2.5,2.5
00AKHA,E05000206,Enfield,Ponders End,44.5,44.5,3.2,3.2,3.3,3.3
00AKHB,E05000207,Enfield,Southbury,29.3,29.3,3.1,3.1,3.1,3.1
00AKHC,E05000208,Enfield,Southgate,27.2,27.1,3.0,3.1,3.1,3.1
00AKHD,E05000209,Enfield,Southgate Green,20.6,20.6,3.7,3.8,3.8,3.9
00AKHE,E05000210,Enfield,Town,16.0,16.0,2.6,2.5,2.5,2.6
00AKHF,E05000211,Enfield,Turkey Street,30.5,30.5,2.5,2.5,2.5,2.5
00AKHG,E05000212,Enfield,Upper Edmonton,17.6,17.6,3.1,3.2,3.3,3.4
00AKHH,E05000213,Enfield,Winchmore Hill,25.2,25.2,2.7,2.7,2.7,2.9
00ALGP,E05000214,Greenwich,Abbey Wood,43.9,44.0,3.0,3.1,3.1,3.1
00ALGQ,E05000215,Greenwich,Blackheath Westcombe,15.5,15.4,3.4,3.4,3.4,3.4
00ALGR,E05000216,Greenwich,Charlton,31.6,31.5,3.7,3.7,3.7,4.0
00ALGS,E05000217,Greenwich,Coldharbour and New Eltham,20.0,20.0,2.8,2.8,2.8,2.9
00ALGT,E05000218,Greenwich,Eltham North,24.6,24.6,2.9,2.9,2.8,2.9
00ALGU,E05000219,Greenwich,Eltham South,54.6,54.6,3.3,3.2,3.2,3.3
00ALGW,E05000220,Greenwich,Eltham West,30.5,30.5,3.0,2.9,2.9,3.1
00ALGX,E05000221,Greenwich,Glyndon,32.6,32.6,3.8,3.8,3.8,4.0
00ALGY,E05000222,Greenwich,Greenwich West,49.0,49.0,4.2,4.3,4.3,4.6
00ALGZ,E05000223,Greenwich,Kidbrooke with Hornfair,28.2,28.2,2.6,2.6,2.5,2.6
00ALHA,E05000224,Greenwich,Middle Park and Sutcliffe,37.0,37.0,2.4,2.4,2.3,2.3
00ALHB,E05000225,Greenwich,Peninsula,33.7,33.7,3.9,4.1,4.3,4.5
00ALHC,E05000226,Greenwich,Plumstead,41.0,41.0,3.4,3.4,3.4,3.6
00ALHD,E05000227,Greenwich,Shooters Hill,57.1,57.2,2.4,2.4,2.4,2.4
00ALHE,E05000228,Greenwich,Thamesmead Moorings,55.5,55.4,2.6,2.6,2.6,2.6
00ALHF,E05000229,Greenwich,Woolwich Common,39.4,39.4,4.2,4.1,4.0,4.0
00ALHG,E05000230,Greenwich,Woolwich Riverside,34.9,34.9,4.3,4.2,4.2,4.5
00AMGA,E05000231,Hackney,Brownswood,28.2,25.6,5.7,5.8,5.9,6.1
00AMGB,E05000232,Hackney,Cazenove,12.8,12.8,4.8,4.8,4.7,4.7
00AMGC,E05000233,Hackney,Chatham,20.5,20.4,5.7,5.8,5.9,5.8
00AMGD,E05000234,Hackney,Clissold,12.3,12.3,3.6,3.7,3.8,3.6
00AMGE,E05000235,Hackney,Dalston,17.1,17.1,5.4,5.6,5.7,6.0
00AMGF,E05000236,Hackney,De Beauvoir,14.2,14.2,4.5,4.6,4.7,4.9
00AMGG,E05000237,Hackney,Hackney Central,14.1,14.1,6.6,6.7,6.8,6.7
